date,Time_to_Maturity,last_value,spread_bps,spread_dec,hazard,s_tau,Q_fit_spline,NS_fit,piecewise_fit
2015-01-08,11.263013698630138,148.378,148.378,0.014837799999999998,0.024729666666666664,0.7568951257596789,0.7987708116223098,0.801428296255482,0.7568951257596789
2015-01-20,11.23013698630137,158.093,158.093,0.0158093,0.026348833333333332,0.7438610608463402,0.7988808538802128,0.8014830877796265,0.7438610608463402
2015-01-26,11.213698630136987,155.059,155.059,0.0155059,0.025843166666666667,0.7484151192799753,0.7989359741595919,0.8015106645290913,0.7484151192799753
2015-01-30,11.202739726027398,150.526,150.526,0.015052600000000001,0.025087666666666668,0.7549901320129886,0.7989727580906063,0.8015291165611484,0.7549901320129886
2015-02-02,11.194520547945206,145.71,145.71,0.014571,0.024285,0.7619617423033781,0.7990003656161693,0.8015429911959544,0.7619617423033781
2015-02-03,11.191780821917808,137.451,137.451,0.0137451,0.022908500000000002,0.7738425027178638,0.7990095718668094,0.8015476228756139,0.7738425027178638
2015-02-24,11.134246575342466,109.576,109.576,0.0109576,0.018262666666666667,0.8159999104261146,0.7992033401240595,0.8016456804017941,0.8159999104261146
2015-03-06,11.106849315068493,84.7398,84.7398,0.00847398,0.014123300000000002,0.854819139703973,0.7992959080979791,0.8016929118668642,0.854819139703973
2015-03-10,11.095890410958905,109.844,109.844,0.0109844,0.018307333333333335,0.816167100968909,0.7993329898379535,0.8017119026916893,0.816167100968909
2015-03-12,11.09041095890411,95.6934,95.6934,0.009569339999999999,0.0159489,0.8378804453351029,0.799351542479757,0.8017214192700398,0.8378804453351029
2015-03-17,11.076712328767123,97.928,97.928,0.009792799999999999,0.016321333333333334,0.8346133509270942,0.7993979585852411,0.8017452726814298,0.8346133509270942
2015-03-26,11.052054794520547,107.587,107.587,0.0107587,0.017931166666666668,0.8202252867411738,0.7994816326565493,0.8017884331171576,0.8202252867411738
2015-03-30,11.04109589041096,113.48,113.48,0.011348,0.018913333333333334,0.811538113062965,0.7995188731640139,0.8018077086687345,0.811538113062965
2015-04-07,11.01917808219178,116.248,116.248,0.011624800000000001,0.01937466666666667,0.8077578933670632,0.7995934511286804,0.8018464329503763,0.8077578933670632
2015-04-08,11.016438356164384,114.936,114.936,0.011493600000000001,0.019156000000000003,0.8097490507954221,0.7996027825154559,0.8018512897932335,0.8097490507954221
2015-04-22,10.978082191780821,95.3804,95.3804,0.00953804,0.015896733333333333,0.8398637143627373,0.7997336373978956,0.8019196691077158,0.8398637143627373
2015-04-27,10.964383561643835,105.319,105.319,0.0105319,0.01755316666666667,0.8249276016658097,0.7997804696210118,0.8019442649768395,0.8249276016658097
