pay_date,tau_years,Q_survival
2015-12-03,0.2493150684931507,0.996810062775713
2016-03-03,0.4986301369863014,0.9932327922459593
2016-06-03,0.7506849315068493,0.9892164103422132
2016-09-03,1.0027397260273974,0.9847963515680311
2016-12-03,1.252054794520548,0.9800296957755196
2017-03-03,1.4986301369863013,0.9749355024132997
2017-06-03,1.7506849315068493,0.9693473286969236
2017-09-03,2.0027397260273974,0.9633871274701965
2017-12-03,2.252054794520548,0.9571410664910471
2018-03-03,2.4986301369863013,0.9506375913699019
2018-06-03,2.750684931506849,0.943673539811248
2018-09-03,3.0027397260273974,0.9364105827722891
2018-12-03,3.252054794520548,0.9289537294749729
2019-03-03,3.4986301369863013,0.9213329969955674
2019-06-03,3.750684931506849,0.913312072629355
2019-09-03,4.002739726027397,0.905079819771617
2019-12-03,4.252054794520548,0.8967505894800756
2020-03-03,4.501369863013698,0.888256637539369
2020-06-03,4.7534246575342465,0.8795222687360276
2020-09-03,5.005479452054795,0.8706597548032246
2020-12-03,5.254794520547946,0.8617860247876498
2021-03-03,5.501369863013698,0.8529216523498353
2021-06-03,5.7534246575342465,0.8437862041609886
2021-09-03,6.005479452054795,0.8345915844241844
2021-12-03,6.254794520547946,0.8254532037915342
2022-03-03,6.501369863013698,0.8163855973948042
2022-06-03,6.7534246575342465,0.8070984892133182
2022-09-03,7.005479452054795,0.7978048647822178
2022-12-03,7.254794520547946,0.7886164516248446
2023-03-03,7.501369863013698,0.7795425469628088
2023-06-03,7.7534246575342465,0.7702897690246109
2023-09-03,8.005479452054795,0.7610681876903751
2023-12-03,8.254794520547945,0.7519848537043038
2024-03-03,8.504109589041096,0.742945882017904
2024-06-03,8.756164383561643,0.7338586797313185
2024-09-03,9.008219178082191,0.7248282903986188
2024-12-03,9.257534246575343,0.7159567261357138
2025-03-03,9.504109589041096,0.7072461293783254
2025-06-03,9.756164383561643,0.6984109747518548
2025-09-03,10.008219178082191,0.6896489583631424
