date,last_value,spread_bps,spread_dec,hazard,tau_yrs,s_tau
2018-06-04,109.617,109.617,0.010961700000000001,0.018269500000000004,8.254794520547945,0.8600102523287424
2018-06-11,121.611,121.611,0.012161100000000001,0.020268500000000002,8.235616438356164,0.8462642704127706
2018-06-22,117.185,117.185,0.0117185,0.019530833333333334,8.205479452054794,0.851922386807873
2018-06-25,129.005,129.005,0.012900499999999999,0.021500833333333334,8.197260273972603,0.8384100931179581
2018-07-05,121.42,121.42,0.012142,0.020236666666666667,8.169863013698631,0.8476132718818722
2018-07-20,122.925,122.925,0.0122925,0.0204875,8.128767123287671,0.8465905473040326
2018-08-03,113.665,113.665,0.0113665,0.018944166666666668,8.09041095890411,0.8579014093557702
2018-08-07,105.916,105.916,0.0105916,0.017652666666666667,8.07945205479452,0.8670801389780313
2018-08-16,110.066,110.066,0.0110066,0.018344333333333334,8.054794520547945,0.8626382650531735
2018-08-22,115.404,115.404,0.0115404,0.019234,8.038356164383561,0.8567494651839738
2018-08-23,107.574,107.574,0.0107574,0.017929,8.035616438356165,0.8658266470076225
2018-09-11,109.736,109.736,0.0109736,0.018289333333333335,7.983561643835617,0.8641455876996559
2018-09-28,108.77,108.77,0.010877,0.018128333333333333,7.936986301369863,0.8659879082012137
2018-10-11,109.349,109.349,0.010934900000000001,0.018224833333333336,7.901369863013699,0.8658867532773225
2018-10-18,109.578,109.578,0.0109578,0.018263,7.882191780821918,0.8659289059867741
2018-10-19,105.013,105.013,0.0105013,0.017502166666666666,7.879452054794521,0.8711792868201229
2018-10-22,112.29,112.29,0.011229000000000001,0.018715000000000002,7.8712328767123285,0.8630262913598017
2018-10-24,106.168,106.168,0.010616800000000001,0.017694666666666668,7.865753424657535,0.870069761486525
2018-11-16,110.712,110.712,0.0110712,0.018452,7.802739726027397,0.8659083967628267
2018-11-26,105.035,105.035,0.010503499999999999,0.01750583333333333,7.7753424657534245,0.8727432656093809
2018-11-27,114.581,114.581,0.0114581,0.019096833333333334,7.772602739726027,0.8620585397453854
2018-11-28,110.511,110.511,0.0110511,0.0184185,7.76986301369863,0.8666594055235677
2018-11-29,117.907,117.907,0.0117907,0.019651166666666667,7.767123287671233,0.858444683817895
2018-11-30,122.303,122.303,0.0122303,0.020383833333333334,7.764383561643836,0.8536210658599495
2018-12-12,121.128,121.128,0.0121128,0.020188,7.7315068493150685,0.8554876170487159
2018-12-13,130.356,130.356,0.0130356,0.021726,7.728767123287671,0.8454255283618812
2018-12-14,134.238,134.238,0.0134238,0.022373,7.726027397260274,0.8412600841782782
2018-12-19,159.885,159.885,0.0159885,0.0266475,7.712328767123288,0.8142284666323932
