tenor,rate,discount_factor
0.25,0.0003,0.9999250028124297
0.5,0.0012,0.9994001799640054
1.0,0.0027,0.9973036417217132
2.0,0.005600000000000001,0.9888624864995005
3.0,0.0087,0.9742376609713015
5.0,0.013500000000000002,0.9347277206160275
7.0,0.0167,0.8896741561308019
10.0,0.019,0.8269591339433623
