Date,PX_LAST
10/30/2025,155.285
10/29/2025,145.103
10/28/2025,151.31
10/27/2025,148.221
10/24/2025,151.499
10/23/2025,150.329
10/22/2025,153.772
10/21/2025,152.32
10/20/2025,151.19
10/17/2025,152.904
10/16/2025,149.503
10/15/2025,149.318
10/14/2025,151.31
10/13/2025,152.896
10/10/2025,152.241
10/9/2025,149.33
10/8/2025,148.512
10/7/2025,147.91
10/6/2025,149.97
10/3/2025,152.13
10/2/2025,152.073
10/1/2025,151.698
9/30/2025,151.935
9/29/2025,152.768
9/26/2025,154.715
9/25/2025,152.92
9/24/2025,149.115
9/23/2025,151.791
9/22/2025,148.092
9/19/2025,142.949
9/18/2025,141.835
9/17/2025,144.795
9/16/2025,144.533
9/15/2025,144.792
9/12/2025,146.605
9/11/2025,146.31
9/10/2025,150.769
9/9/2025,149.577
9/8/2025,146.503
9/5/2025,148.433
9/4/2025,146.827
9/3/2025,145.324
9/2/2025,145.14
9/1/2025,140.373
8/29/2025,140.805
8/28/2025,139.541
8/27/2025,142.451
8/26/2025,141.424
8/25/2025,141.398
8/22/2025,141.598
8/21/2025,144.81
8/20/2025,147.377
8/19/2025,140.78
8/18/2025,144.663
8/15/2025,143.422
8/14/2025,144.272
8/13/2025,140.051
8/12/2025,141.615
8/11/2025,142.437
8/8/2025,141.534
8/7/2025,143.014
8/6/2025,144.458
8/5/2025,144.788
8/4/2025,146.028
8/1/2025,149.031
7/31/2025,142.997
7/30/2025,144.953
7/29/2025,142.965
7/28/2025,145.796
7/25/2025,145.935
7/24/2025,148.944
7/23/2025,150.122
7/22/2025,149.92
7/21/2025,149.638
7/18/2025,152.453
7/17/2025,153.245
7/16/2025,154.334
7/15/2025,151.496
7/14/2025,149.875
7/11/2025,149.143
7/10/2025,149.487
7/9/2025,150.834
7/8/2025,150.853
7/7/2025,150.072
7/4/2025,151.982
7/3/2025,151.475
7/2/2025,151.934
7/1/2025,151.686
6/30/2025,154.942
6/27/2025,150.282
6/26/2025,151.179
6/25/2025,152.628
6/24/2025,153.652
6/23/2025,157.315
6/20/2025,157.815
6/19/2025,156.362
6/18/2025,156.593
6/17/2025,154.355
6/16/2025,148.952
6/13/2025,149.519
6/12/2025,148.755
6/11/2025,137
6/10/2025,131.406
6/9/2025,133.052
6/6/2025,132.718
6/5/2025,134.797
6/4/2025,134.904
6/3/2025,135.603
6/2/2025,137.261
5/30/2025,134.347
5/29/2025,132.533
5/28/2025,134.689
5/27/2025,135.825
5/26/2025,141.16
5/23/2025,140.85
5/22/2025,137.007
5/21/2025,133.343
5/20/2025,127.955
5/19/2025,127.035
5/16/2025,129.535
5/15/2025,129.585
5/14/2025,129.873
5/13/2025,128.407
5/12/2025,132.654
5/9/2025,142.764
5/8/2025,145.324
5/7/2025,149.481
5/6/2025,150.615
5/5/2025,150.208
5/2/2025,154.56
5/1/2025,158.925
4/30/2025,159.981
4/29/2025,158.458
4/28/2025,159.452
4/25/2025,160.679
4/24/2025,161.461
4/23/2025,162.652
4/22/2025,170.174
4/21/2025,173.215
4/18/2025,164.345
4/17/2025,164.608
4/16/2025,164.912
4/15/2025,164.83
4/14/2025,168.069
4/11/2025,177.511
4/10/2025,179.78
4/9/2025,178.881
4/8/2025,185.641
4/7/2025,184.455
4/4/2025,187.516
4/3/2025,174.798
4/2/2025,163.675
4/1/2025,164.248
3/31/2025,166.909
3/28/2025,165.252
3/27/2025,159.47
3/26/2025,155.913
3/25/2025,155.371
3/24/2025,157.263
3/21/2025,160.685
3/20/2025,159.756
3/19/2025,154.089
3/18/2025,154.638
3/17/2025,155.264
3/14/2025,157.682
3/13/2025,160.783
3/12/2025,155.798
3/11/2025,157.623
3/10/2025,153.443
3/7/2025,148.904
3/6/2025,146.879
3/5/2025,144.841
3/4/2025,143.121
3/3/2025,139.136
2/28/2025,139.819
2/27/2025,135.382
2/26/2025,133.501
2/25/2025,132.241
2/24/2025,131.855
2/21/2025,129.146
2/20/2025,126.675
2/19/2025,126.227
2/18/2025,125.916
2/17/2025,127.644
2/14/2025,127.693
2/13/2025,129.16
2/12/2025,128.778
2/11/2025,128.541
2/10/2025,127.369
2/7/2025,128.946
2/6/2025,129.321
2/5/2025,129.865
2/4/2025,129.417
2/3/2025,130.946
1/31/2025,129.008
1/30/2025,129.303
1/29/2025,130.936
1/28/2025,130.16
1/27/2025,130.114
1/24/2025,127.369
1/23/2025,128.6
1/22/2025,129.279
1/21/2025,130.733
1/20/2025,132.408
1/17/2025,132.903
1/16/2025,135.563
1/15/2025,136.036
1/14/2025,140.068
1/13/2025,140.614
1/10/2025,143.222
1/9/2025,142.842
1/8/2025,137.436
1/7/2025,135.885
1/6/2025,135.17
1/3/2025,136.717
1/2/2025,136.889
1/1/2025,139.571
12/31/2024,139.015
12/30/2024,139.576
12/27/2024,140.151
12/26/2024,139.679
12/25/2024,139.361
12/24/2024,139.504
12/23/2024,139.255
12/20/2024,137.742
12/19/2024,137.552
12/18/2024,139.447
12/17/2024,139.163
12/16/2024,138.707
12/13/2024,138.949
12/12/2024,138.331
12/11/2024,137.953
12/10/2024,136.758
12/9/2024,136.126
12/6/2024,136.742
12/5/2024,136.28
12/4/2024,137.837
12/3/2024,139.333
12/2/2024,139.759
11/29/2024,141.463
11/28/2024,141.328
11/27/2024,140.91
11/26/2024,140.555
11/25/2024,139.912
11/22/2024,140.678
11/21/2024,142.226
11/20/2024,142.728
